IATA,Latitude,Longitude
ROW,33.30160141,-104.5309982
DET,42.40919876,-83.00990295
BRO,25.90679932,-97.42590332
DHN,31.32130051,-85.44960022
WWD,39.00849915,-74.90830231
MTC,42.60829926,-82.83550262
FMN,36.74119949,-108.2300034
CRP,27.77039909,-97.50119781
SYR,43.11119843,-76.10630035
NQX,24.57579994,-81.68890381
MDW,41.7859993,-87.75240326
SJC,37.36259842,-121.9290009
HOB,32.6875,-103.2170029
PNE,40.08190155,-75.01059723
DEN,39.86169815,-104.6729965
PHL,39.87189865,-75.2410965
SUX,42.40259933,-96.38439941
MCN,32.69279861,-83.64920044
TCS,33.23690033,-107.2720032
PMD,34.62939835,-118.0849991
RND,29.52969933,-98.27890015
NJK,32.82920074,-115.6719971
CMH,39.9980011,-82.89189911
FYV,36.00510025,-94.17009735
FSI,34.64979935,-98.40219879
PNM,45.55989838,-93.60820007
FFO,39.8260994,-84.0483017
GAL,64.73619843,-156.9369965
\N,33.2691,-111.810997
MWL,32.78160095,-98.06020355
IAB,37.62189865,-97.26820374
NBG,29.82530022,-90.03500366
BFT,32.41220093,-80.63439941
TXK,33.45370102,-93.99099731
PBG,44.65090179,-73.4681015
APG,39.466202,-76.1688
TCC,35.18280029,-103.6029968
ANC,61.17440033,-149.9960022
GRK,31.06719971,-97.8289032
ZUN,35.08319855,-108.7919998
BLI,48.7928009,-122.538002
NQA,35.3567009,-89.87030029
EKN,38.88940048,-79.85710144
HFD,41.73669815,-72.6493988
SFZ,41.92079926,-71.49140167
MOB,30.69120026,-88.24279785
NUQ,37.41609955,-122.0490036
SAF,35.61709976,-106.0889969
BKH,22.02280045,-159.7850037
DRI,30.83169937,-93.33989716
BSF,19.76009941,-155.5540009
OLS,31.41769981,-110.8479996
MCF,27.84930038,-82.52120209
BLV,38.5452,-89.835197
OPF,25.90699959,-80.27839661
DRT,29.37420082,-100.927002
RSW,26.53619957,-81.75520325
AKN,58.67679977,-156.6490021
MUI,40.43479919,-76.56939697
JHM,20.96290016,-156.6730042
JFK,40.63980103,-73.77890015
HST,25.48859978,-80.38359833
RAL,33.95190048,-117.4449997
FLV,39.36830139,-94.91470337
WAL,37.94020081,-75.46640015
HMN,32.85250092,-106.1070023
NXX,40.19979858,-75.14820099
CYS,41.15570068,-104.8119965
SCK,37.89419937,-121.237999
CHS,32.89860153,-80.04049683
RNO,39.49909973,-119.7679977
KTN,55.35559845,-131.7140045
YIP,42.23789978,-83.53040314
VBG,34.73730087,-120.5839996
BHM,33.56290054,-86.75350189
NEL,40.03329849,-74.353302
LSV,36.23619843,-115.0339966
RIV,33.88069916,-117.2590027
MOD,37.62580109,-120.9540024
SMF,38.69540024,-121.5910034
UGN,42.42219925,-87.86789703
COS,38.80580139,-104.7009964
BUF,42.94049835,-78.73220062
SKY,41.4333992,-82.65229797
PAE,47.90629959,-122.2819977
MUO,43.043598,-115.872002
CDC,37.70100021,-113.098999
BDL,41.93889999,-72.68319702
MFE,26.17580032,-98.23860168
NGU,36.93759918,-76.28929901
CEF,42.19400024,-72.53479767
LBB,33.66360092,-101.822998
ORD,41.97859955,-87.90480042
BCT,26.37849998,-80.10769653
FAI,64.81510162,-147.8560028
NYG,38.50170135,-77.30529785
CVS,34.38280106,-103.3219986
NGF,21.45050049,-157.7680054
OFF,41.11830139,-95.91249847
GKN,62.1548996,-145.4570007
ART,43.9919014,-76.021698
PSP,33.82970047,-116.5070038
AMA,35.2193985,-101.7060013
FOD,42.55149841,-94.19259644
BAD,32.50180054,-93.66269684
FOE,38.95090103,-95.66359711
COT,28.45669937,-99.22029877
ILM,34.27059937,-77.90260315
BTR,30.53319931,-91.14959717
TYR,32.35409927,-95.40239716
BWI,39.17539978,-76.66829681
HBR,34.991317,-99.051313
LNY,20.78560066,-156.951004
AEX,31.32740021,-92.54979706
WSD,32.34149933,-106.4029999
CDB,55.20610046,-162.7250061
TUL,36.19839859,-95.88809967
SIT,57.04710007,-135.3619995
ISP,40.79520035,-73.10019684
MSP,44.88199997,-93.22180176
ILG,39.67869949,-75.60649872
DUT,53.90010071,-166.5440063
MSY,29.99340057,-90.25800323
PWM,43.64619827,-70.30930328
OKC,35.39310074,-97.60070038
ALB,42.74829865,-73.80169678
VDZ,61.13389969,-146.2480011
LFI,37.082901,-76.36049652
SNA,33.67570114,-117.8679962
CBM,33.64379883,-88.44380188
TMB,25.64789963,-80.43280029
NTU,36.8207016,-76.03350067
GUS,40.64810181,-86.15209961
CPR,42.90800095,-106.4639969
VPS,30.4832,-86.525398
SEM,32.34389877,-86.9878006
EYW,24.55610085,-81.75959778
CLT,35.2140007,-80.94309998
LAS,36.08010101,-115.1520004
MCO,28.42939949,-81.30899811
FLO,34.1853981,-79.72389984
GTF,47.48199844,-111.3710022
YNG,41.26070023,-80.67910004
FBK,64.83750153,-147.6139984
MMV,45.19440079,-123.1360016
WRB,32.64009857,-83.59190369
PUW,46.7439,-117.110001
LWS,46.37450027,-117.0149994
ELM,42.15990067,-76.89160156
ITH,42.49100113,-76.45839691
MRY,36.5870018,-121.8430023
SBA,34.42620087,-119.8399963
DAB,29.179899,-81.058098
TKA,62.32049942,-150.0939941
HVN,41.26369858,-72.88680267
AVL,35.43619919,-82.54180145
GSO,36.09780121,-79.93730164
FSD,43.58200073,-96.74189758
MHT,42.93259811,-71.43569946
APF,26.15259933,-81.77529907
SDF,38.1744,-85.736
CHO,38.1385994,-78.45290375
ROA,37.32550049,-79.97540283
LEX,38.03649902,-84.60590363
EVV,38.03699875,-87.53240204
ABQ,35.04019928,-106.6090012
BZN,45.77750015,-111.1529999
BIL,45.80770111,-108.5429993
BTM,45.95479965,-112.4970016
TVC,44.74140167,-85.5821991
BHB,44.45000076,-68.3615036
RKD,44.06010056,-69.09919739
JAC,43.6072998,-110.737999
RFD,42.19540024,-89.09719849
GSP,34.89569855,-82.21890259
BMI,40.47710037,-88.91590118
GPT,30.40730095,-89.07009888
AZO,42.23490143,-85.55210114
TOL,41.58679962,-83.80780029
FWA,40.97850037,-85.19509888
DEC,39.83459854,-88.86569977
CID,41.88470078,-91.71080017
LSE,43.879002,-91.256699
CWA,44.77759933,-89.66680145
PIA,40.66419983,-89.69329834
ATW,44.2580986,-88.51909637
RST,43.90829849,-92.5
CMI,40.03919983,-88.27809906
MHK,39.14099884,-96.67079926
FKL,41.37789917,-79.86039734
GJT,39.12239838,-108.5270004
SGU,37.03638889,-113.5103056
DWH,30.0618,-95.55280304
S46,28.42970085,-96.44439697
SRQ,27.39539909,-82.55439758
VNY,34.20980072,-118.4899979
MLI,41.44850159,-90.50749969
PFN,30.212099,-85.6828
BIS,46.77270126,-100.7460022
TEX,37.9538002,-107.9079971
RAP,44.04529953,-103.0569992
CLD,33.12829971,-117.2799988
FNT,42.9654007,-83.74359894
RDD,40.50899887,-122.2929993
EUG,44.12459946,-123.211998
IDA,43.51459885,-112.0709991
MFR,42.37419891,-122.8730011
RDM,44.2541008,-121.1500015
CAK,40.91609955,-81.44219971
HSV,34.6371994,-86.77510071
PKB,39.3451004,-81.43920135
MGM,32.30059814,-86.39399719
TRI,36.47520065,-82.40740204
PAH,37.06079865,-88.77380371
PGA,36.92610168,-111.447998
FCA,48.3105011,-114.2559967
MBS,43.53290176,-84.07959747
BGM,42.20869827,-75.97979736
BLH,33.61920166,-114.7170029
PSG,56.80170059,-132.9450073
SFB,28.77759933,-81.23750305
JST,40.31610107,-78.83390045
MSO,46.91630173,-114.0910034
GCN,35.95240021,-112.1470032
SGR,29.62229919,-95.65650177
APA,39.57009888,-104.848999
CVN,34.42509842,-103.0790024
FST,30.91570091,-102.9160004
LVS,35.65420151,-105.1419983
IWS,29.81819916,-95.67259979
LHX,38.04970169,-103.5090027
LRU,32.28939819,-106.9219971
BKD,32.71900177,-98.89099884
TPL,31.15250015,-97.40779877
OZA,30.73530006,-101.2030029
EGE,39.64260101,-106.9179993
CGF,41.56510162,-81.48639679
MFD,40.82139969,-82.51660156
CSG,32.5163002,-84.93890381
LAW,34.56769943,-98.41660309
FNL,40.4518013,-105.0110016
FLG,35.13850021,-111.6709976
TVL,38.89390182,-119.9950027
TWF,42.48180008,-114.487999
MVY,41.39310074,-70.61430359
CON,43.20270157,-71.50229645
GON,41.33010101,-72.04509735
STC,45.54660034,-94.05989838
GTR,33.45029831,-88.59140015
HQM,46.97119904,-123.9369965
ERI,42.08312701,-80.17386675
HYA,41.66930008,-70.28040314
SDX,34.84859848,-111.788002
MGW,39.64289856,-79.91629791
CRW,38.37310028,-81.59320068
AVP,41.33850098,-75.7233963
BJI,47.50939941,-94.93370056
FAR,46.92070007,-96.81580353
MKC,39.12319946,-94.59279633
GCC,44.34889984,-105.5390015
SCE,40.84930038,-77.84870148
MEI,32.33259964,-88.75189972
SPI,39.84410095,-89.67790222
CEZ,37.3030014,-108.6279984
HDN,40.48120117,-107.2180023
GUP,35.51110077,-108.7890015
LBL,37.0442009,-100.9599991
LAA,38.06969833,-102.6880035
GLD,39.37060165,-101.6989975
COD,44.52019882,-109.0240021
SGF,37.24570084,-93.38860321
JLN,37.15179825,-94.49829865
ABE,40.65209961,-75.44080353
XNA,36.281898,-94.306801
SBN,41.70869827,-86.31729889
SMD,41.14339828,-85.15280151
ACV,40.97809982,-124.1090012
OAJ,34.82920074,-77.61209869
TCL,33.22060013,-87.61139679
DBQ,42.40200043,-90.70950317
ABR,45.44910049,-98.42179871
ABY,31.53549957,-84.19450378
AHN,33.94860077,-83.32630157
ALM,32.83990097,-105.9909973
ALO,42.55709839,-92.40029907
ALW,46.09489822,-118.288002
APN,45.0780983,-83.56030273
ATY,44.91400146,-97.15470123
BFD,41.80310059,-78.64009857
BFF,41.87400055,-103.5960007
BKW,37.78730011,-81.12419891
BQK,31.25880051,-81.46649933
BRL,40.78319931,-91.12550354
CEC,41.78020096,-124.2369995
CGI,37.22529984,-89.57080078
CIU,46.25080109,-84.47239685
CKB,39.29660034,-80.22810364
CLM,48.12020111,-123.5
CMX,47.16839981,-88.4890976
DDC,37.76340103,-99.96559906
DUJ,41.17829895,-78.8986969
EAU,44.86579895,-91.48429871
EKO,40.82490158,-115.7919998
EWB,41.67610168,-70.95690155
FAY,34.99119949,-78.88030243
GGW,48.21250153,-106.6149979
GRI,40.96749878,-98.30960083
HOT,34.47800064,-93.09619904
HTS,38.36669922,-82.55799866
IRK,40.09349823,-92.54489899
JMS,46.92969894,-98.67819977
LAR,41.31209946,-105.6750031
LBE,40.27590179,-79.40480042
LBF,41.12620163,-100.6839981
LEB,43.62609863,-72.30419922
LMT,42.15610123,-121.7330017
LNS,40.12170029,-76.2960968
LWT,47.04930115,-109.4670029
LYH,37.3266983,-79.20040131
MKG,43.16949844,-86.23819733
MLS,46.4280014,-105.8860016
MSL,34.74530029,-87.61019897
OTH,43.417099,-124.2460022
OWB,37.74010086,-87.16680145
PIB,31.46710014,-89.33709717
PIH,42.90980148,-112.5960007
PIR,44.38270187,-100.2860031
PLN,45.57089996,-84.79669952
PSM,43.07789993,-70.82330322
RDG,40.37850189,-75.96520233
RHI,45.63119888,-89.46749878
RKS,41.59420013,-109.0650024
RUT,43.52939987,-72.94960022
SBP,35.23680115,-120.6419983
SHR,44.76919937,-106.9800034
SLK,44.38529968,-74.20619965
SLN,38.79100037,-97.65219879
SMX,34.89889908,-120.4570007
TUP,34.26810074,-88.76989746
UIN,39.94269943,-91.19460297
VCT,28.8526001,-96.91850281
VLD,30.78249931,-83.27670288
WRL,43.96569824,-107.9509964
YKM,46.56819916,-120.5439987
ADK,51.87799835,-176.6459961
GST,58.4253006,-135.7070007
SGY,59.46009827,-135.3159943
HCR,62.18830109,-159.7749939
HNS,59.24380112,-135.5240021
KLG,61.53630066,-160.3410034
MCG,62.95289993,-155.6060028
MOU,62.09540176,-163.6820068
ANI,61.58160019,-159.5429993
VAK,61.5409,-165.6005
WRG,56.48429871,-132.3699951
LUP,21.21100044,-156.973999
WKK,59.2826004,-158.6179962
BLF,37.29579926,-81.20770264
GLH,33.48289871,-90.98560333
PSC,46.26470184,-119.1190033
KQA,54.13377044,-165.7788956
LPS,48.48389816,-122.9380035
WKL,19.9205,-155.8607
ORH,42.26729965,-71.8757019
PWT,47.49020004,-122.7649994
SPW,43.16550064,-95.20279694
JEF,38.59120178,-92.15609741
PVC,42.07189941,-70.2213974
FUL,33.87200165,-117.9800034
\N,35.387798,-80.709099
SUN,43.50439835,-114.2959976
MCW,43.15779877,-93.33129883
AZA,33.30780029,-111.6549988
AKP,68.13359833,-151.7429962
ANV,62.646702,-160.190994
ATK,70.46730042,-157.4360046
GAM,63.76679993,-171.7330017
HPB,61.52389908,-166.1470032
KAL,64.31909943,-158.7409973
KSM,62.0605011,-163.302002
KVL,67.73619843,-164.5630035
MYU,60.37139893,-166.2709961
RBY,64.72720337,-155.4700012
SHH,66.249604,-166.089112
SVA,63.68640137,-170.4929962
WTK,67.56610107,-162.9750061
ARC,68.1147,-145.578995
HGR,39.707901,-77.72949982
SDP,55.31499863,-160.522995
DRG,66.06960297,-162.7660065
IGG,59.32400131,-155.9019928
KNW,59.44990158,-157.3280029
KVC,55.11629868,-162.2660065
PTH,56.95909882,-158.6329956
TOG,59.05279922,-160.3970032
ESC,45.72269821,-87.09369659
YAK,59.50329971,-139.6600037
MWA,37.75500107,-89.01110077
IMT,45.81840134,-88.11450195
\N,46.53390121,-87.56140137
AET,66.55180359,-152.621994
MGC,41.70330048,-86.82119751
SWD,60.12689972,-149.4190063
GRM,47.8382988,-90.38289642
AUW,44.92620087,-89.62660217
MIE,40.24229813,-85.39589691
LAF,40.41230011,-86.93689728
\N,38.88190079,-83.88269806
VGT,36.21070099,-115.1940002
ENW,42.59569931,-87.92780304
MTJ,38.50979996,-107.8939972
RIW,43.06420136,-108.4599991
PDT,45.69509888,-118.8410034
OSH,43.9844017,-88.55699921
EAT,47.39889908,-120.2070007
\N,32.76919937,-97.4414978
GYY,41.61629868,-87.41280365
BRD,46.39830017,-94.13809967
LWB,37.85829926,-80.39949799
PGV,35.6352005,-77.38529968
CYF,60.14920044,-164.2859955
OXR,34.20080185,-119.2070007
SCH,42.85250092,-73.92890167
UST,29.95919991,-81.33979797
STS,38.50899887,-122.8130035
ISM,28.28980064,-81.43710327
LCQ,30.18199921,-82.57689667
\N,29.06699944,-81.28379822
\N,29.904057,-81.68515
LGU,41.79119873,-111.8519974
BMC,41.55239868,-112.0619965
MLD,42.16659927,-112.2969971
ASE,39.22320175,-106.8690033
ERV,29.97669983,-99.08570099
GED,38.68920135,-75.35890198
GBN,38.34429932,-98.85919952
HYS,38.84220123,-99.27320099
SUS,38.66210175,-90.65200043
LYU,47.82450104,-91.83070374
GPZ,47.21110153,-93.50980377
TVF,48.06570053,-96.18499756
EGV,45.93230057,-89.26830292
ARV,45.92789841,-89.73090363
IKV,41.69139862,-93.56639862
NGP,27.69260025,-97.29109955
AVX,33.4049,-118.416
MHV,35.05939865,-118.1520004
HUT,38.06549835,-97.86060333
STJ,39.77190018,-94.90969849
VOK,43.93899918,-90.25340271
GUC,38.53390121,-106.9329987
TOA,33.80339813,-118.3399963
MBL,44.2723999,-86.24690247
PGD,26.92020035,-81.9905014
WFK,47.28549957,-68.31279755
JHW,42.15340042,-79.25800323
SME,37.05339813,-84.61589813
SHD,38.26380157,-78.89640045
DVL,48.11420059,-98.90879822
DIK,46.79740143,-102.802002
SDY,47.70690155,-104.1930008
CDR,42.83760071,-103.0950012
AIA,42.05319977,-102.8040009
MCK,40.20629883,-100.5920029
MTH,24.72610092,-81.05139923
GDV,47.13869858,-104.8069992
OLF,48.0945015,-105.5749969
WYS,44.68840027,-111.1179962
ALS,37.434898,-105.866997
CNY,38.75500107,-109.7549973
ELY,39.29970169,-114.8420029
VEL,40.4408989,-109.5100021
SRR,33.46279907,-105.5350037
SOW,34.26549912,-110.0059967
MYL,44.88970184,-116.1009979
SMN,45.12379837,-113.8809967
MMH,37.62409973,-118.8379974
FRD,48.52199936,-123.0240021
ESD,48.70819855,-122.9100037
AST,46.15800095,-123.8789978
ONP,44.58039856,-124.0579987
EMK,62.78609848,-164.4909973
UNK,63.88840103,-160.798996
UUK,70.33080292,-149.5980072
SHX,62.69229889,-159.5690002
NUI,70.20999908,-151.0059967
EEK,60.21367264,-162.0438843
KUK,60.87440109,-162.5240021
KWT,60.79029846,-161.4440002
KWK,59.876499,-163.169005
MLL,61.86429977,-162.026001
RSH,61.77888489,-161.319458
KGK,59.72660065,-157.2590027
KMO,58.99020004,-159.0500031
CIK,66.64499664,-143.7400055
EAA,64.77639771,-141.151001
HUS,66.04109955,-154.2630005
HSL,65.69789886,-156.3509979
NUL,64.72930145,-158.0740051
VEE,67.00869751,-146.3659973
WBQ,66.36219788,-147.4069977
CEM,65.57379913,-144.7830048
SHG,66.88809967,-157.1620026
IYK,35.65879822,-117.8300018
VIS,36.31869888,-119.3929977
MCE,37.28469849,-120.5139999
\N,33.42250061,-112.3759995
AGN,57.503601,-134.585007
ELV,58.19520187,-136.3470001
FNR,58.25439835,-134.897995
HNH,58.0961,-135.410111
AFE,56.96139908,-133.9100037
MTM,55.13100052,-131.5780029
