IATA,Longitude,Latitude
ALM,-105.9909973,32.83990097
ALO,-92.40029907,42.55709839
ALW,-118.288002,46.09489822
APN,-83.56030273,45.0780983
ATY,-97.15470123,44.91400146
BFD,-78.64009857,41.80310059
BFF,-103.5960007,41.87400055
BKW,-81.12419891,37.78730011
BQK,-81.46649933,31.25880051
BRL,-91.12550354,40.78319931
CEC,-124.2369995,41.78020096
CGI,-89.57080078,37.22529984
CIU,-84.47239685,46.25080109
CKB,-80.22810364,39.29660034
CLM,-123.5,48.12020111
CMX,-88.4890976,47.16839981
DDC,-99.96559906,37.76340103
DUJ,-78.8986969,41.17829895
EAU,-91.48429871,44.86579895
EKO,-115.7919998,40.82490158
EWB,-70.95690155,41.67610168
FAY,-78.88030243,34.99119949
GGW,-106.6149979,48.21250153
GRI,-98.30960083,40.96749878
HOT,-93.09619904,34.47800064
HTS,-82.55799866,38.36669922
IRK,-92.54489899,40.09349823
JMS,-98.67819977,46.92969894
LAR,-105.6750031,41.31209946
LBE,-79.40480042,40.27590179
LBF,-100.6839981,41.12620163
LEB,-72.30419922,43.62609863
LMT,-121.7330017,42.15610123
LNS,-76.2960968,40.12170029
LWT,-109.4670029,47.04930115
LYH,-79.20040131,37.3266983
MKG,-86.23819733,43.16949844
MLS,-105.8860016,46.4280014
MSL,-87.61019897,34.74530029
OTH,-124.2460022,43.417099
OWB,-87.16680145,37.74010086
PIB,-89.33709717,31.46710014
PIH,-112.5960007,42.90980148
PIR,-100.2860031,44.38270187
PLN,-84.79669952,45.57089996
PSM,-70.82330322,43.07789993
RDG,-75.96520233,40.37850189
RHI,-89.46749878,45.63119888
RKS,-109.0650024,41.59420013
RUT,-72.94960022,43.52939987
SBP,-120.6419983,35.23680115
SHR,-106.9800034,44.76919937
SLK,-74.20619965,44.38529968
SLN,-97.65219879,38.79100037
SMX,-120.4570007,34.89889908
TUP,-88.76989746,34.26810074
UIN,-91.19460297,39.94269943
VCT,-96.91850281,28.8526001
VLD,-83.27670288,30.78249931
WRL,-107.9509964,43.96569824
YKM,-120.5439987,46.56819916
ADK,-176.6459961,51.87799835
GST,-135.7070007,58.4253006
SGY,-135.3159943,59.46009827
HCR,-159.7749939,62.18830109
HNS,-135.5240021,59.24380112
KLG,-160.3410034,61.53630066
MCG,-155.6060028,62.95289993
MOU,-163.6820068,62.09540176
ANI,-159.5429993,61.58160019
VAK,-165.6005,61.5409
WRG,-132.3699951,56.48429871
LUP,-156.973999,21.21100044
WKK,-158.6179962,59.2826004
BLF,-81.20770264,37.29579926
GLH,-90.98560333,33.48289871
PSC,-119.1190033,46.26470184
KQA,-165.7788956,54.13377044
LPS,-122.9380035,48.48389816
WKL,-155.8607,19.9205
ORH,-71.8757019,42.26729965
PWT,-122.7649994,47.49020004
SPW,-95.20279694,43.16550064
JEF,-92.15609741,38.59120178
PVC,-70.2213974,42.07189941
FUL,-117.9800034,33.87200165
\N,-80.709099,35.387798
SUN,-114.2959976,43.50439835
MCW,-93.33129883,43.15779877
AZA,-111.6549988,33.30780029
AKP,-151.7429962,68.13359833
ANV,-160.190994,62.646702
ATK,-157.4360046,70.46730042
GAM,-171.7330017,63.76679993
HPB,-166.1470032,61.52389908
KAL,-158.7409973,64.31909943
KSM,-163.302002,62.0605011
KVL,-164.5630035,67.73619843
MYU,-166.2709961,60.37139893
RBY,-155.4700012,64.72720337
SHH,-166.089112,66.249604
SVA,-170.4929962,63.68640137
WTK,-162.9750061,67.56610107
ARC,-145.578995,68.1147
HGR,-77.72949982,39.707901
SDP,-160.522995,55.31499863
DRG,-162.7660065,66.06960297
IGG,-155.9019928,59.32400131
KNW,-157.3280029,59.44990158
KVC,-162.2660065,55.11629868
PTH,-158.6329956,56.95909882
TOG,-160.3970032,59.05279922
ESC,-87.09369659,45.72269821
YAK,-139.6600037,59.50329971
MWA,-89.01110077,37.75500107
IMT,-88.11450195,45.81840134
\N,-87.56140137,46.53390121
AET,-152.621994,66.55180359
MGC,-86.82119751,41.70330048
SWD,-149.4190063,60.12689972
GRM,-90.38289642,47.8382988
AUW,-89.62660217,44.92620087
MIE,-85.39589691,40.24229813
LAF,-86.93689728,40.41230011
\N,-83.88269806,38.88190079
VGT,-115.1940002,36.21070099
ENW,-87.92780304,42.59569931
MTJ,-107.8939972,38.50979996
RIW,-108.4599991,43.06420136
PDT,-118.8410034,45.69509888
OSH,-88.55699921,43.9844017
EAT,-120.2070007,47.39889908
\N,-97.4414978,32.76919937
GYY,-87.41280365,41.61629868
BRD,-94.13809967,46.39830017
LWB,-80.39949799,37.85829926
PGV,-77.38529968,35.6352005
CYF,-164.2859955,60.14920044
OXR,-119.2070007,34.20080185
SCH,-73.92890167,42.85250092
UST,-81.33979797,29.95919991
STS,-122.8130035,38.50899887
ISM,-81.43710327,28.28980064
LCQ,-82.57689667,30.18199921
\N,-81.28379822,29.06699944
\N,-81.68515,29.904057
LGU,-111.8519974,41.79119873
BMC,-112.0619965,41.55239868
MLD,-112.2969971,42.16659927
ASE,-106.8690033,39.22320175
ERV,-99.08570099,29.97669983
GED,-75.35890198,38.68920135
GBN,-98.85919952,38.34429932
HYS,-99.27320099,38.84220123
SUS,-90.65200043,38.66210175
LYU,-91.83070374,47.82450104
GPZ,-93.50980377,47.21110153
TVF,-96.18499756,48.06570053
EGV,-89.26830292,45.93230057
ARV,-89.73090363,45.92789841
IKV,-93.56639862,41.69139862
NGP,-97.29109955,27.69260025
AVX,-118.416,33.4049
MHV,-118.1520004,35.05939865
HUT,-97.86060333,38.06549835
STJ,-94.90969849,39.77190018
VOK,-90.25340271,43.93899918
GUC,-106.9329987,38.53390121
TOA,-118.3399963,33.80339813
MBL,-86.24690247,44.2723999
PGD,-81.9905014,26.92020035
WFK,-68.31279755,47.28549957
JHW,-79.25800323,42.15340042
SME,-84.61589813,37.05339813
SHD,-78.89640045,38.26380157
DVL,-98.90879822,48.11420059
DIK,-102.802002,46.79740143
SDY,-104.1930008,47.70690155
CDR,-103.0950012,42.83760071
AIA,-102.8040009,42.05319977
MCK,-100.5920029,40.20629883
MTH,-81.05139923,24.72610092
GDV,-104.8069992,47.13869858
OLF,-105.5749969,48.0945015
WYS,-111.1179962,44.68840027
ALS,-105.866997,37.434898
CNY,-109.7549973,38.75500107
ELY,-114.8420029,39.29970169
VEL,-109.5100021,40.4408989
SRR,-105.5350037,33.46279907
SOW,-110.0059967,34.26549912
MYL,-116.1009979,44.88970184
SMN,-113.8809967,45.12379837
MMH,-118.8379974,37.62409973
FRD,-123.0240021,48.52199936
ESD,-122.9100037,48.70819855
AST,-123.8789978,46.15800095
ONP,-124.0579987,44.58039856
EMK,-164.4909973,62.78609848
UNK,-160.798996,63.88840103
UUK,-149.5980072,70.33080292
SHX,-159.5690002,62.69229889
NUI,-151.0059967,70.20999908
EEK,-162.0438843,60.21367264
KUK,-162.5240021,60.87440109
KWT,-161.4440002,60.79029846
KWK,-163.169005,59.876499
MLL,-162.026001,61.86429977
RSH,-161.319458,61.77888489
KGK,-157.2590027,59.72660065
KMO,-159.0500031,58.99020004
CIK,-143.7400055,66.64499664
EAA,-141.151001,64.77639771
HUS,-154.2630005,66.04109955
HSL,-156.3509979,65.69789886
NUL,-158.0740051,64.72930145
VEE,-146.3659973,67.00869751
WBQ,-147.4069977,66.36219788
CEM,-144.7830048,65.57379913
SHG,-157.1620026,66.88809967
IYK,-117.8300018,35.65879822
VIS,-119.3929977,36.31869888
MCE,-120.5139999,37.28469849
\N,-112.3759995,33.42250061
AGN,-134.585007,57.503601
ELV,-136.3470001,58.19520187
FNR,-134.897995,58.25439835
HNH,-135.410111,58.0961
AFE,-133.9100037,56.96139908
MTM,-131.5780029,55.13100052
